ID,Location,Code,Lat,Lon,Type,Year,Structure,Habitat
1,Birdwood,4285,41.11663,-100.8333,PVC structures,2015,FISH ATTRACTOR,STRUCTURE
2,Birdwood,4285,41.11737,-100.8388,PVC structures,2015,FISH ATTRACTOR,STRUCTURE
3,Birdwood,4285,41.1173,-100.8373,PVC structures,2015,FISH ATTRACTOR,STRUCTURE
5,Birdwood,4285,41.11633,-100.8308,PVC structures,2015,FISH ATTRACTOR,STRUCTURE
6,Birdwood,4285,41.11586,-100.8307,Brush Piles,2016,BRUSH PILE,WOOD
8,Birdwood,4285,41.11636,-100.837,Brush Piles,2016,BRUSH PILE,WOOD
9,Birdwood,4286,41.11611,-100.8355,Artifical Structures,2016,FISH ATTRACTOR,STRUCTURE
10,Birdwood,4287,41.11747,-100.8387,Artifical Structures,2016,FISH ATTRACTOR,STRUCTURE
11,Birdwood,4288,41.11713,-100.8363,Trees,2017,TREE,STRUCTURE
12,Birdwood,4289,41.1174,-100.8379,Trees,2017,TREE,STRUCTURE
13,Birdwood,4290,41.11628,-100.836,Trees,2017,TREE,STRUCTURE
14,Conestoga,5115,40.769256,-96.85400804,CEDAR,2018,CEDAR,WOOD
15,Conestoga,5115,40.76924703,-96.85400904,CEDAR,2018,CEDAR,WOOD
16,Conestoga,5115,40.76877002,-96.85357201,CEDAR,2018,CEDAR,WOOD
17,Conestoga,5115,40.76882601,-96.85395297,CEDAR,2018,CEDAR,WOOD
18,Conestoga,5115,40.76885903,-96.85400502,CEDAR,2018,CEDAR,WOOD
19,Conestoga,5115,40.76582998,-96.85496902,CEDAR,2018,CEDAR,WOOD
20,Conestoga,5115,40.76570299,-96.85479501,CEDAR,2018,CEDAR,WOOD
21,Conestoga,5115,40.76588304,-96.854649,CEDAR,2018,CEDAR,WOOD
22,Conestoga,5115,40.76591103,-96.85460198,CEDAR,2018,CEDAR,WOOD
23,Conestoga,5115,40.76586301,-96.85431599,CEDAR,2018,CEDAR,WOOD
24,Conestoga,5115,40.76629903,-96.85457901,CEDAR,2018,CEDAR,WOOD
25,Conestoga,5115,40.76635301,-96.85455898,CEDAR,2018,CEDAR,WOOD
26,Conestoga,5115,40.76924703,-96.85398398,CEDAR,2018,CEDAR,WOOD
27,Conestoga,5115,40.76638402,-96.85451204,CEDAR,2018,CEDAR,WOOD
28,Conestoga,5115,40.76644697,-96.854391,CEDAR,2018,CEDAR,WOOD
29,Conestoga,5115,40.76645804,-96.85432102,CEDAR,2018,CEDAR,WOOD
30,Conestoga,5115,40.76664596,-96.85403704,CEDAR,2018,CEDAR,WOOD
31,Conestoga,5115,40.766552,-96.85411298,CEDAR,2018,CEDAR,WOOD
32,Conestoga,5115,40.76628604,-96.85389496,CEDAR,2018,CEDAR,WOOD
33,Conestoga,5115,40.76614204,-96.85388499,CEDAR,2018,CEDAR,WOOD
34,Conestoga,5115,40.766107,-96.85382598,CEDAR,2018,CEDAR,WOOD
35,Conestoga,5115,40.76679901,-96.853843,CEDAR,2018,CEDAR,WOOD
36,Conestoga,5115,40.76677303,-96.85386596,CEDAR,2018,CEDAR,WOOD
37,Conestoga,5115,40.76927402,-96.85345701,CEDAR,2018,CEDAR,WOOD
38,Conestoga,5115,40.76689901,-96.85369899,CEDAR,2018,CEDAR,WOOD
39,Conestoga,5115,40.76691996,-96.85369799,CEDAR,2018,CEDAR,WOOD
40,Conestoga,5115,40.76699498,-96.85356597,CEDAR,2018,CEDAR,WOOD
41,Conestoga,5115,40.76707603,-96.85350303,CEDAR,2018,CEDAR,WOOD
42,Conestoga,5115,40.76630004,-96.85283197,CEDAR,2018,CEDAR,WOOD
43,Conestoga,5115,40.76614397,-96.85253701,CEDAR,2018,CEDAR,WOOD
44,Conestoga,5115,40.76618697,-96.85248798,CEDAR,2018,CEDAR,WOOD
45,Conestoga,5115,40.76627598,-96.85248798,CEDAR,2018,CEDAR,WOOD
46,Conestoga,5115,40.76627196,-96.85254598,CEDAR,2018,CEDAR,WOOD
47,Conestoga,5115,40.76622401,-96.852564,CEDAR,2018,CEDAR,WOOD
48,Conestoga,5115,40.76915802,-96.85322098,CEDAR,2018,CEDAR,WOOD
49,Conestoga,5115,40.76626601,-96.852636,CEDAR,2018,CEDAR,WOOD
50,Conestoga,5115,40.76620599,-96.85265796,CEDAR,2018,CEDAR,WOOD
51,Conestoga,5115,40.76624799,-96.85269903,CEDAR,2018,CEDAR,WOOD
52,Conestoga,5115,40.76621002,-96.85273399,CEDAR,2018,CEDAR,WOOD
53,Conestoga,5115,40.76625704,-96.85280196,CEDAR,2018,CEDAR,WOOD
54,Conestoga,5115,40.76608303,-96.85333396,CEDAR,2018,CEDAR,WOOD
55,Conestoga,5115,40.766179,-96.85340596,CEDAR,2018,CEDAR,WOOD
56,Conestoga,5115,40.76917402,-96.85320002,CEDAR,2018,CEDAR,WOOD
57,Conestoga,5115,40.76896498,-96.85304596,CEDAR,2018,CEDAR,WOOD
58,Conestoga,5115,40.76876197,-96.85288402,CEDAR,2018,CEDAR,WOOD
59,Conestoga,5115,40.76874504,-96.85283197,CEDAR,2018,CEDAR,WOOD
60,Conestoga,5115,40.76868997,-96.85333497,CEDAR,2018,CEDAR,WOOD
61,Conestoga,5115,40.76563703,-96.85505401,CRIB,2018,CRIB,WOOD
62,Conestoga,5115,40.77026702,-96.84815898,GRAVEL,2018,GRAVEL,ROCK
63,Conestoga,5115,40.77028697,-96.84731198,GRAVEL,2018,GRAVEL,ROCK
64,Conestoga,5115,40.76670899,-96.852448,GRAVEL,2018,GRAVEL,ROCK
65,Conestoga,5115,40.76636801,-96.85252,GRAVEL,2018,GRAVEL,ROCK
66,Conestoga,5115,40.77032897,-96.84665602,GRAVEL,2018,GRAVEL,ROCK
67,Conestoga,5115,40.76953897,-96.84793199,GRAVEL,2018,GRAVEL,ROCK
68,Conestoga,5115,40.76930604,-96.847199,GRAVEL,2018,GRAVEL,ROCK
69,Conestoga,5115,40.769343,-96.84787902,GRAVEL,2018,GRAVEL,ROCK
70,Conestoga,5115,40.76833097,-96.85391399,GRAVEL,2018,GRAVEL,ROCK
71,Conestoga,5115,40.76724904,-96.85320999,GRAVEL,2018,GRAVEL,ROCK
72,Conestoga,5115,40.76734501,-96.85226401,GRAVEL,2018,GRAVEL,ROCK
73,Conestoga,5115,40.76766,-96.85222504,GRAVEL,2018,GRAVEL,ROCK
74,Conestoga,5115,40.76708098,-96.85259099,ISLAND,2018,ISLAND,ISLAND
75,Conestoga,5115,40.76992798,-96.85399102,ISLAND,2018,ISLAND,ISLAND
76,Conestoga,5115,40.76637103,-96.852751,ISLAND,2018,ISLAND,ISLAND
77,Conestoga,5115,40.76983896,-96.85421096,ISLAND,2018,ISLAND,ISLAND
78,Conestoga,5115,40.76953604,-96.85482603,ISLAND,2018,ISLAND,ISLAND
79,Conestoga,5115,40.76969001,-96.85451296,ISLAND,2018,ISLAND,ISLAND
80,Conestoga,5115,40.76821304,-96.85366698,ISLAND,2018,ISLAND,ISLAND
81,Conestoga,5115,40.76828898,-96.85381299,ISLAND,2018,ISLAND,ISLAND
82,Conestoga,5115,40.76845,-96.85406302,ISLAND,2018,ISLAND,ISLAND
83,Conestoga,5115,40.76862099,-96.85426796,ISLAND,2018,ISLAND,ISLAND
84,Conestoga,5115,40.76876801,-96.85443903,ISLAND,2018,ISLAND,ISLAND
85,Conestoga,5115,40.76894503,-96.85463903,ISLAND,2018,ISLAND,ISLAND
86,Conestoga,5115,40.76917604,-96.85484204,ISLAND,2018,ISLAND,ISLAND
87,Conestoga,5115,40.76936496,-96.85497397,ISLAND,2018,ISLAND,ISLAND
88,Conestoga,5115,40.76640104,-96.853039,ISLAND,2018,ISLAND,ISLAND
89,Conestoga,5115,40.76601103,-96.85292803,ISLAND,2018,ISLAND,ISLAND
90,Conestoga,5115,40.76608898,-96.85333899,ISLAND,2018,ISLAND,ISLAND
91,Conestoga,5115,40.76896498,-96.84954501,ISLAND,2018,ISLAND,ISLAND
92,Conestoga,5115,40.76891997,-96.85029502,ISLAND,2018,ISLAND,ISLAND
93,Conestoga,5115,40.76345002,-96.85064798,ISLAND,2018,ISLAND,ISLAND
94,Conestoga,5115,40.767243,-96.852061,ISLAND,2018,ISLAND,ISLAND
95,Conestoga,5115,40.76604498,-96.85336498,ISLAND,2018,ISLAND,ISLAND
96,Conestoga,5115,40.76608697,-96.85363001,ISLAND,2018,ISLAND,ISLAND
97,Conestoga,5115,40.76763896,-96.85232696,ISLAND,2018,ISLAND,ISLAND
98,Conestoga,5115,40.76673003,-96.85271798,ISLAND,2018,ISLAND,ISLAND
99,Conestoga,5115,40.76719103,-96.85327202,ISLAND,2018,ISLAND,ISLAND
100,Conestoga,5115,40.765718,-96.855095,LOG CRIB,2018,CRIB,STRUCTURE
101,Conestoga,5115,40.765603,-96.85514404,LOG CRIB,2018,CRIB,STRUCTURE
102,Conestoga,5115,40.766092,-96.85449402,LOG CRIB,2018,CRIB,STRUCTURE
103,Conestoga,5115,40.76566997,-96.85519198,LOG CRIB,2018,CRIB,STRUCTURE
104,Conestoga,5115,40.76585999,-96.85482401,LOG CRIB,2018,CRIB,STRUCTURE
105,Conestoga,5115,40.76582202,-96.85479904,LOG CRIB,2018,CRIB,STRUCTURE
106,Conestoga,5115,40.76585303,-96.85475201,LOG CRIB,2018,CRIB,STRUCTURE
107,Conestoga,5115,40.76587901,-96.85480298,LOG CRIB,2018,CRIB,STRUCTURE
108,Conestoga,5115,40.76600902,-96.85442001,LOG CRIB,2018,CRIB,STRUCTURE
109,Conestoga,5115,40.76604104,-96.85434197,LOG CRIB,2018,CRIB,STRUCTURE
110,Conestoga,5115,40.766106,-96.85438799,LOG CRIB,2018,CRIB,STRUCTURE
111,Conestoga,5115,40.77032603,-96.84828596,ROCK PILE,2018,ROCK PILE,ROCK
112,Conestoga,5115,40.77026996,-96.84805898,ROCK PILE,2018,ROCK PILE,ROCK
113,Conestoga,5115,40.76952003,-96.84729396,ROCK PILE,2018,ROCK PILE,ROCK
114,Conestoga,5115,40.76944602,-96.84702298,ROCK PILE,2018,ROCK PILE,ROCK
115,Conestoga,5115,40.76931098,-96.84703496,ROCK PILE,2018,ROCK PILE,ROCK
116,Conestoga,5115,40.76924996,-96.847314,ROCK PILE,2018,ROCK PILE,ROCK
117,Conestoga,5115,40.76928902,-96.84743897,ROCK PILE,2018,ROCK PILE,ROCK
118,Conestoga,5115,40.76932096,-96.84778699,ROCK PILE,2018,ROCK PILE,ROCK
119,Conestoga,5115,40.76927,-96.84791397,ROCK PILE,2018,ROCK PILE,ROCK
120,Conestoga,5115,40.76884503,-96.84903103,ROCK PILE,2018,ROCK PILE,ROCK
121,Conestoga,5115,40.76879298,-96.84890899,ROCK PILE,2018,ROCK PILE,ROCK
122,Conestoga,5115,40.76894503,-96.84879097,ROCK PILE,2018,ROCK PILE,ROCK
123,Conestoga,5115,40.770321,-96.84793501,ROCK PILE,2018,ROCK PILE,ROCK
124,Conestoga,5115,40.76888803,-96.85005999,ROCK PILE,2018,ROCK PILE,ROCK
125,Conestoga,5115,40.768811,-96.85019301,ROCK PILE,2018,ROCK PILE,ROCK
126,Conestoga,5115,40.76891502,-96.85048797,ROCK PILE,2018,ROCK PILE,ROCK
127,Conestoga,5115,40.76896599,-96.85068998,ROCK PILE,2018,ROCK PILE,ROCK
128,Conestoga,5115,40.77036803,-96.84774298,ROCK PILE,2018,ROCK PILE,ROCK
129,Conestoga,5115,40.770321,-96.84741198,ROCK PILE,2018,ROCK PILE,ROCK
130,Conestoga,5115,40.77025596,-96.84718299,ROCK PILE,2018,ROCK PILE,ROCK
131,Conestoga,5115,40.77027499,-96.84667999,ROCK PILE,2018,ROCK PILE,ROCK
132,Conestoga,5115,40.77019402,-96.84660003,ROCK PILE,2018,ROCK PILE,ROCK
133,Conestoga,5115,40.77018798,-96.84638503,ROCK PILE,2018,ROCK PILE,ROCK
134,Conestoga,5115,40.76953604,-96.84743403,ROCK PILE,2018,ROCK PILE,ROCK
135,Conestoga,5115,40.77038798,-96.84779897,ROOT WAD,2018,ROOT WAD,WOOD
136,Conestoga,5115,40.77038202,-96.84744903,ROOT WAD,2018,ROOT WAD,WOOD
137,Conestoga,5115,40.76934904,-96.85483298,ROOT WAD,2018,ROOT WAD,WOOD
138,Conestoga,5115,40.76937201,-96.85484103,ROOT WAD,2018,ROOT WAD,WOOD
